时间戳,本机经度,本机纬度,本机高度,本机航向角,本机俯仰角,本机滚转角,本机速度X轴,本机速度Y轴,本机速度Z轴,体轴滚转角速度,体轴俯仰角速度,体轴偏航角速度,本机马赫数,本机剩余弹量,本机耗油率,左升降舵位置,右升降舵位置,左副翼位置,右副翼位置,方向舵位置
0.000000,5.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0,0,0,0,0,0
0.053219,5.166546,0.000000,9144.000099,-90.000000,5.708816,-0.000000,212.238039,-0.000000,-137.349972,0.000000,0.000000,0.000000,0.820283,6,0,0,0,0,0,0
0.119212,5.166396,0.000000,9144.000229,-90.000000,5.627526,-0.000000,200.388529,-0.000000,-154.133374,0.000000,0.000000,0.000000,0.820300,6,0,0,0,0,0,0
0.186739,5.166242,0.000000,9144.000207,-90.000000,5.638763,-0.000000,202.107731,-0.000000,-151.871806,0.000000,0.000000,0.000000,0.820300,6,0,0,0,0,0,0
0.253401,5.166091,0.000000,9144.000208,-90.000000,5.638584,-0.000001,202.080296,-0.000173,-151.907960,0.000000,0.000000,0.000000,0.820299,6,0,0,0,0,0,0
0.319401,5.165940,0.000000,9144.000208,-90.000000,5.638576,-0.000001,202.078918,-0.000173,-151.909453,0.000000,0.000000,0.000000,0.820298,6,0,0,0,0,0,0
0.386312,5.165788,0.000000,9144.000208,-90.000000,5.638563,-0.000000,202.076772,-0.000000,-151.911971,0.000000,0.000000,0.000000,0.820298,6,0,0,0,0,0,0
0.453426,5.165636,0.000000,9144.000208,-90.000000,5.638550,-0.000000,202.074679,-0.000000,-151.914424,0.000000,0.000000,0.000000,0.820297,6,0,0,0,0,0,0
0.519897,5.165485,0.000000,9144.000208,-90.000000,5.638537,-0.000000,202.072550,-0.000000,-151.916936,0.000000,0.000000,0.000000,0.820296,6,0,0,0,0,0,0
0.585916,5.165335,0.000000,9144.000208,-90.000000,5.638524,-0.000000,202.070406,-0.000000,-151.919478,0.000000,0.000000,0.000000,0.820296,6,0,0,0,0,0,0
0.652627,5.165183,0.000000,9144.000208,-90.000000,5.638511,-0.000000,202.068281,-0.000000,-151.921998,0.000000,0.000000,0.000000,0.820295,6,0,0,0,0,0,0
0.720744,5.165028,0.000000,9144.000208,-90.000000,5.638498,-0.000000,202.066178,-0.000000,-151.924489,0.000000,0.000000,0.000000,0.820295,6,0,0,0,0,0,0
0.785885,5.164880,0.000000,9144.000208,-90.000000,5.638485,-0.000000,202.064066,-0.000000,-151.927012,0.000000,0.000000,0.000000,0.820294,6,0,0,0,0,0,0
0.852710,5.164728,0.000000,9144.000208,-90.000000,5.638471,-0.000000,202.061860,-0.000000,-151.929658,0.000000,0.000000,0.000000,0.820293,6,0,0,0,0,0,0
0.919716,5.164576,0.000000,9144.000208,-90.000000,5.638459,-0.000000,202.059795,-0.000000,-151.932123,0.000000,0.000000,0.000000,0.820293,6,0,0,0,0,0,0
0.985751,5.164426,0.000000,9144.000208,-90.000000,5.638445,-0.000000,202.057660,-0.000000,-151.934691,0.000000,0.000000,0.000000,0.820292,6,0,0,0,0,0,0
1.052968,5.164273,0.000000,9144.000235,-89.999996,5.638432,0.000041,202.062171,0.008333,-151.942295,0.000000,0.000000,0.000000,0.820319,6,0,0,0,0,0,0
1.128533,5.164101,0.000000,9144.000287,-89.999983,5.623945,0.000174,199.858292,0.034860,-154.867956,0.000000,0.000000,0.000000,0.820395,6,0,0,0,0,0,0
1.192592,5.163955,0.000000,9144.000300,-89.999966,5.616313,0.000343,198.689411,0.068191,-156.403556,0.000000,0.000000,0.000000,0.820473,6,0,0,0,0,0,0
1.255252,5.163813,0.000000,9144.000299,-89.999946,5.615723,0.000545,198.615546,0.108312,-156.535317,0.000000,0.000000,0.000000,0.820549,6,0,0,0,0,0,0
