时间戳,本机经度,本机纬度,本机高度,本机航向角,本机俯仰角,本机滚转角,本机速度X轴,本机速度Y轴,本机速度Z轴,体轴滚转角速度,体轴俯仰角速度,体轴偏航角速度,本机马赫数,本机剩余弹量,本机耗油率,左升降舵位置,右升降舵位置,左副翼位置,右副翼位置,方向舵位置
0.000000,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.093565,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.193158,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.028984,0.000000,0.000000,0.000000,0.000000,0.000000
0.244901,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.047193,0.000000,0.000000,0.000000,0.000000,0.000000
0.343496,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.042660,0.000000,0.000000,0.000000,0.000000,0.000000
0.443059,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.046389,0.000000,0.000000,0.000000,0.000000,0.000000
0.493836,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.053683,0.000000,0.000000,0.000000,0.000000,0.000000
0.594900,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.049670,0.000000,0.000000,0.000000,0.000000,0.000000
0.693496,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.051328,0.000000,0.000000,0.000000,0.000000,0.000000
0.792988,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.052328,0.000000,0.000000,0.000000,0.000000,0.000000
0.843835,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.056230,0.000000,0.000000,0.000000,0.000000,0.000000
0.943364,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.053522,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.056446,0.000000,0.000000,0.000000,0.000000,0.000000
1.093731,1.166665,0.000000,9144.000000,-89.807187,0.000000,0.000000,4.686545,0.000000,0.000000,0.000000,0.000000,2.057092,0.015207,6,0.054707,0.000000,0.000000,0.000000,0.000000,0.205709
1.150000,1.166662,0.000000,9144.000000,-89.807187,0.000000,0.000000,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024336,6,0.057348,0.000000,0.000000,0.000000,0.000000,0.000000
1.244076,1.166653,0.000000,9144.000000,-89.807187,0.000000,0.000000,12.203780,0.000000,0.000000,0.000000,0.000000,0.000000,0.039598,6,0.056353,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,1.166646,0.000000,9144.000000,-89.807187,0.000000,0.000000,15.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.048671,6,0.059903,0.000000,0.000000,0.000000,0.000000,-0.000000
1.350000,1.166639,0.000000,9144.000000,-89.807187,0.000000,0.000000,17.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.056783,6,0.061462,0.000000,0.000000,0.000000,0.000000,-0.000000
1.444195,1.166622,0.000000,9144.000000,-89.807187,0.000000,0.000000,22.209775,0.000000,0.000000,0.000000,0.000000,-0.000000,0.072065,6,0.060822,0.000000,0.000000,0.000000,0.000000,-0.000000
1.500000,1.166611,0.000000,9144.000000,-89.807187,0.000000,0.000000,25.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.081118,6,0.065191,0.000000,0.000000,0.000000,0.000000,-0.000000
1.550000,1.166599,0.000000,9144.000000,-89.807187,0.000000,0.000000,27.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.089230,6,0.067202,0.000000,0.000000,0.000000,0.000000,-0.000000
1.644291,1.166573,0.000000,9144.000000,-89.807187,0.000000,0.000000,32.214525,0.000000,0.000000,0.000000,0.000000,-0.000000,0.104528,6,0.067009,0.000000,0.000000,0.000000,0.000000,-0.000000
1.700000,1.166557,0.000000,9144.000000,-89.807187,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.113566,6,0.071950,0.000000,0.000000,0.000000,0.000000,-0.000000
1.750000,1.166540,0.000000,9144.000000,-89.807187,0.000000,0.000000,37.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.121678,6,0.074266,0.000000,0.000000,0.000000,0.000000,-0.000000
1.845397,1.166506,0.000001,9144.000000,-89.807187,0.000000,0.000000,42.269840,0.000000,0.000000,0.000000,0.000000,-0.000000,0.137154,6,0.074313,0.000000,0.000000,0.000000,0.000000,-0.000000
1.900000,1.166485,0.000001,9144.000000,-89.807187,0.000000,0.000000,45.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.146013,6,0.079799,0.000000,0.000000,0.000000,0.000000,-0.000000
1.950000,1.166464,0.000001,9144.000000,-89.807187,0.000000,0.000000,47.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.154125,6,0.082245,0.000000,0.000000,0.000000,0.000000,-0.000000
2.000000,1.166442,0.000001,9144.000000,-89.807187,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.162237,6,0.084351,0.000000,0.000000,0.000000,0.000000,-0.000000
2.100000,1.166395,0.000001,9144.000000,-89.807187,0.000000,0.000000,55.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178460,6,0.084435,0.000000,0.000000,0.000000,0.000000,0.000000
2.150000,1.166370,0.000001,9144.000000,-89.807187,0.000000,0.000000,57.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.186572,6,0.090885,0.000000,0.000000,0.000000,0.000000,-0.000000
2.200000,1.166343,0.000001,9144.000000,-89.807187,0.000000,0.000000,60.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.194684,6,0.093127,0.000000,0.000000,0.000000,0.000000,-0.000000
2.293423,1.166291,0.000001,9144.000000,-89.807187,0.000000,0.000000,64.671175,0.000000,0.000000,0.000000,0.000000,-0.000000,0.209841,6,0.093592,0.000000,0.000000,0.000000,0.000000,-0.000000
2.350000,1.166257,0.000001,9144.000000,-89.807187,0.000000,0.000000,67.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.219020,6,0.099431,0.000000,0.000000,0.000000,0.000000,-0.000000
2.400000,1.166226,0.000001,9144.000000,-89.807187,0.000000,0.000000,70.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.227132,6,0.102362,0.000000,0.000000,0.000000,0.000000,-0.000000
2.493538,1.166166,0.000002,9144.000000,-89.807187,0.000000,0.000000,74.676915,0.000000,0.000000,0.000000,0.000000,-0.000000,0.242307,6,0.102901,0.000000,0.000000,0.000000,0.000000,-0.000000
2.550000,1.166127,0.000002,9144.000000,-89.807187,0.000000,0.000000,77.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.251467,6,0.108936,0.000000,0.000000,0.000000,0.000000,-0.000000
2.600000,1.166092,0.000002,9144.000000,-89.807187,0.000000,0.000000,80.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.259579,6,0.111948,0.000000,0.000000,0.000000,0.000000,-0.000000
2.693676,1.166022,0.000002,9144.000000,-89.807187,0.000000,0.000000,84.683805,0.000000,0.000000,0.000000,0.000000,-0.000000,0.274777,6,0.112532,0.000000,0.000000,0.000000,0.000000,-0.000000
2.750000,1.165979,0.000002,9144.000000,-89.807187,0.000000,0.000000,87.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.283914,6,0.118722,0.000000,0.000000,0.000000,0.000000,-0.000000
2.800000,1.165939,0.000002,9144.000000,-89.807187,0.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.292026,6,0.121792,0.000000,0.000000,0.000000,0.000000,-0.000000
2.895799,1.165859,0.000003,9144.000000,-89.807187,0.000000,0.000000,94.789940,0.000000,0.000000,0.000000,0.000000,-0.000000,0.307568,6,0.122326,0.000000,0.000000,0.000000,0.000000,-0.000000
2.950000,1.165812,0.000003,9144.000000,-89.807187,0.000000,0.000000,97.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.316362,6,0.128943,0.000000,0.000000,0.000000,0.000000,-0.000000
3.000000,1.165768,0.000003,9144.000000,-89.807187,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.324474,6,0.131890,0.000000,0.000000,0.000000,0.000000,-0.000000
3.050000,1.165723,0.000003,9144.000000,-89.807187,0.000000,0.000000,102.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.332585,6,0.134457,0.000000,0.000000,0.000000,0.000000,0.000000
3.150000,1.165628,0.000004,9144.000000,-89.807187,0.000000,0.000000,107.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.348809,6,0.134867,0.000000,0.000000,0.000000,0.000000,-0.000000
3.200000,1.165579,0.000004,9144.000000,-89.807187,0.000000,0.000000,110.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.356921,6,0.142268,0.000000,0.000000,0.000000,0.000000,-0.000000
3.296014,1.165482,0.000004,9144.000000,-89.807187,0.000000,0.000000,114.800710,0.000000,0.000000,0.000000,0.000000,-0.000000,0.372498,6,0.142886,0.000000,0.000000,0.000000,0.000000,-0.000000
3.350000,1.165426,0.000004,9144.000000,-89.807187,0.000000,0.000000,117.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.381256,6,0.149856,0.000000,0.000000,0.000000,0.000000,-0.000000
3.400000,1.165373,0.000004,9144.000000,-89.807187,0.000000,0.000000,120.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.389368,6,0.152947,0.000000,0.000000,0.000000,0.000000,-0.000000
3.496168,1.165267,0.000005,9144.000000,-89.807187,0.000000,0.000000,124.808405,0.000000,0.000000,0.000000,0.000000,-0.000000,0.404970,6,0.153610,0.000000,0.000000,0.000000,0.000000,-0.000000
3.550000,1.165206,0.000005,9144.000000,-89.807187,0.000000,0.000000,127.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.413704,6,0.160778,0.000000,0.000000,0.000000,0.000000,-0.000000
3.600000,1.165148,0.000005,9144.000000,-89.807187,0.000000,0.000000,130.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.421816,6,0.163942,0.000000,0.000000,0.000000,0.000000,-0.000000
3.650000,1.165089,0.000005,9144.000000,-89.807187,0.000000,0.000000,132.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.429927,6,0.166742,0.000000,0.000000,0.000000,0.000000,-0.000000
