航向角,过载,高度,速度
0.000859933,1.57686,10000,539.025
0.00187847,1.51745,10000,538.982
0.003155,1.43999,10000,538.94
0.00452482,1.36769,10000,538.899
0.00582061,1.29977,10000,538.857
0.00688136,1.23684,10000,538.816
0.00756445,1.18007,10000,538.774
0.00775909,1.13082,10000,538.731
0.00739918,1.09033,10000,538.689
0.00647407,1.05964,10000,538.646
0.00503539,1.03954,10000,538.604
0.00319886,1.03048,10000,538.561
0.0011404,1.03258,10000,538.519
-0.000916119,1.04555,10000,538.476
-0.00272322,1.0687,10000,538.434
-0.00404389,1.10095,10000,538.393
-0.00468509,1.14091,10000,538.351
-0.00452137,1.187,10000,538.31
-0.00350538,1.23761,10000,538.27
-0.00166622,1.29118,10000.1,538.23
0.000901532,1.34632,10000.1,538.19
0.00405349,1.40066,10000.1,538.151
0.0076151,1.45355,10000.1,538.112
0.0113979,1.50478,10000.1,538.074
0.0152133,1.55355,10000.1,538.036
0.0188837,1.59913,10000.1,537.999
0.0222519,1.64093,10000.1,537.962
0.0251901,1.67847,10000.1,537.926
0.0276091,1.7115,10000.1,537.89
0.0294663,1.74006,10000.1,537.854
0.0307715,1.76444,10000.1,537.819
0.0315885,1.78524,10000.1,537.784
0.032032,1.80326,10000.2,537.749
0.0322586,1.8194,10000.2,537.714
0.0324522,1.8346,10000.2,537.68
0.0328063,1.84969,10000.2,537.645
0.0335052,1.86537,10000.2,537.611
0.0347069,1.88214,10000.2,537.578
0.0365297,1.90032,10000.2,537.544
0.0390445,1.92004,10000.3,537.511
0.0422731,1.94134,10000.3,537.478
0.0461909,1.96411,10000.3,537.445
0.0507347,1.98822,10000.3,537.413
0.055812,2.01344,10000.3,537.381
0.0613121,2.03951,10000.4,537.349
0.0671163,2.06612,10000.4,537.318
0.0731079,2.09295,10000.4,537.287
0.0791806,2.11965,10000.4,537.256
0.0852453,2.1459,10000.5,537.226
0.0912359,2.17142,10000.5,537.195
0.0971129,2.19603,10000.5,537.165
0.102865,2.21959,10000.5,537.136
0.108511,2.2421,10000.6,537.106
0.114092,2.26363,10000.6,537.077
0.119673,2.28429,10000.6,537.048
0.12533,2.30425,10000.7,537.02
0.131147,2.32369,10000.7,536.991
0.137207,2.34275,10000.7,536.963
0.143581,2.36156,10000.8,536.935
0.150329,2.38022,10000.8,536.907
0.157491,2.39878,10000.9,536.88
0.165084,2.41726,10000.9,536.853
0.17311,2.43566,10001,536.826
0.18155,2.45395,10001,536.799
0.190373,2.47212,10001,536.773
0.199538,2.4901,10001.1,536.746
0.208998,2.50787,10001.1,536.72
0.218708,2.52538,10001.2,536.694
0.228622,2.54258,10001.2,536.669
0.238707,2.55945,10001.3,536.643
0.248934,2.57598,10001.3,536.618
0.259289,2.59218,10001.4,536.593
0.269767,2.60808,10001.5,536.569
0.280376,2.62372,10001.5,536.544
0.291134,2.63916,10001.6,536.52
0.302064,2.65447,10001.6,536.495
0.313196,2.66972,10001.7,536.471
0.324561,2.68495,10001.8,536.447
0.336188,2.70022,10001.8,536.424
0.348104,2.71555,10001.9,536.4
0.360328,2.73095,10002,536.377
0.372874,2.74641,10002,536.354
0.385746,2.76191,10002.1,536.331
0.398942,2.77741,10002.2,536.308
0.412454,2.79288,10002.2,536.286
0.426269,2.80827,10002.3,536.263
0.440369,2.82355,10002.4,536.241
0.454736,2.83866,10002.5,536.219
0.469352,2.85359,10002.6,536.197
0.484202,2.86831,10002.6,536.176
0.499272,2.8828,10002.7,536.154
0.514555,2.89706,10002.8,536.133
0.530045,2.91111,10002.9,536.111
0.545743,2.92496,10003,536.09
0.561654,2.93864,10003.1,536.069
0.577785,2.95217,10003.2,536.049
0.594148,2.9656,10003.2,536.028
0.610753,2.97896,10003.3,536.007
0.627612,2.99226,10003.4,535.987
0.644737,3.00554,10003.5,535.967
0.662136,3.0188,10003.6,535.947
0.679815,3.03205,10003.7,535.926
0.697777,3.0453,10003.8,535.907
0.716024,3.05854,10003.9,535.887
0.734552,3.07174,10004,535.867
0.753356,3.08491,10004.1,535.848
