时间戳,本机经度,本机纬度,本机高度,本机航向角,本机俯仰角,本机滚转角,本机速度X轴,本机速度Y轴,本机速度Z轴,体轴滚转角速度,体轴俯仰角速度,体轴偏航角速度,本机马赫数,本机剩余弹量,本机耗油率,左升降舵位置,右升降舵位置,左副翼位置,右副翼位置,方向舵位置,迎角,侧滑角,法向过载,燃油消耗,油门位置
0,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0.093492,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0.145262,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.038511,0,0,0,0,0,0,0,0,0,0
0.243859,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.035642,0,0,0,0,0,0,0,0,0,0
0.343422,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.042488,0,0,0,0,0,0,0,0,0,0
0.395164,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.052,0,0,0,0,0,0,0,0,0,0
0.493733,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.04789,0,0,0,0,0,0,0,0,0,0
0.595285,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.049628,0,0,0,0,0,0,0,0,0,0
0.694875,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.051259,0,0,0,0,0,0,0,0,0,0
0.793398,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.052405,0,0,0,0,0,0,0,0,0,0
0.845213,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.056167,0,0,0,0,0,0,0,0,0,0
0.943778,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.053586,0,0,0,0,0,0,0,0,0,0
1,1.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0.056471,0,0,0,0,0,0,0,0,0,0
1.095081,1.166665,0,9144,-89.807187,0,0,4.75407,0,0,0,0,2.027874,0.015426,6,0.05464,0,0,0,0,0.202787,0.002479,0.002479,0.002479,0.002479,0.002479
1.149901,1.166662,0,9144,-89.807187,0,0,7.49506,0,0,0,0,0,0.024319,6,0.057436,0,0,0,0,0,0.005973,0.005973,0.005973,0.005973,0.005973
1.25,1.166653,0,9144,-89.807187,0,0,12.5,0,0,0,0,0,0.040559,6,0.05608,0,0,0,0,0,0.008542,0.008542,0.008542,0.008542,0.008542
1.3,1.166646,0,9144,-89.807187,0,0,15,0,0,0,0,0,0.048671,6,0.060305,0,0,0,0,0,0.010672,0.010672,0.010672,0.010672,0.010672
1.35,1.166639,0,9144,-89.807187,0,0,17.5,0,0,0,0,0,0.056783,6,0.061462,0,0,0,0,0,0.01178,0.01178,0.01178,0.01178,0.01178
1.443601,1.166622,0,9144,-89.807187,0,0,22.180025,0,0,0,0,0,0.071968,6,0.060847,0,0,0,0,0,0.012913,0.012913,0.012913,0.012913,0.012913
1.5,1.166611,0,9144,-89.807187,0,0,25,0,0,0,0,0,0.081118,6,0.065147,0,0,0,0,0,0.013945,0.013945,0.013945,0.013945,0.013945
1.55,1.166599,0,9144,-89.807187,0,0,27.5,0,0,0,0,0,0.08923,6,0.067202,0,0,0,0,0,0.014585,0.014585,0.014585,0.014585,0.014585
1.643674,1.166574,0,9144,-89.807187,0,0,32.183675,0,0,0,0,0,0.104428,6,0.067034,0,0,0,0,0,0.015094,0.015094,0.015094,0.015094,0.015094
1.7,1.166557,0,9144,-89.807187,0,0,35,0,0,0,0,0,0.113566,6,0.071901,0,0,0,0,0,0.015556,0.015556,0.015556,0.015556,0.015556
1.75,1.16654,0,9144,-89.807187,0,0,37.5,0,0,0,0,0,0.121678,6,0.074266,0,0,0,0,0,0.015904,0.015904,0.015904,0.015904,0.015904
1.843834,1.166507,0.000001,9144,-89.807187,0,0,42.191695,0,0,0,0,0,0.136901,6,0.074376,0,0,0,0,0,0.016078,0.016078,0.016078,0.016078,0.016078
