平台ID,角色,摧毁状态,总油量,剩余油量,总弹数,剩余弹数,击中数量,打偏数量,规避数量,仿真得分
1,blue,1,9397.526276,7167.742128,6.000000,4.000000,0,2,1
2,red,0,9397.526276,8389.746354,6.000000,4.000000,1,1,2
 , , , , , , , , , ,64
